Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
10056,89,23,2805269.83,2,4,5,245,At Risk
10057,57,20,2694804.36,2,3,5,235,Lost
10058,13,11,709241.41,5,1,1,511,New
10059,169,17,1445529.28,1,2,1,121,Lost
10060,18,34,3070595.63,4,5,5,455,Loyal
10061,3,16,1887441.1199999999,5,1,3,513,New
10062,114,24,3155857.49,1,4,5,145,At Risk
10063,143,19,2279610.72,1,2,4,124,Lost
10064,149,19,2145749.76,1,2,3,123,Lost
10065,32,17,1804414.2,3,2,2,322,Lost
10066,63,17,1967321.9,2,2,3,223,Lost
10067,120,26,2341992.38,1,5,4,154,At Risk
10068,87,22,2250766.14,2,4,4,244,At Risk
10069,77,23,2346715.41,2,4,4,244,At Risk
10070,12,25,3418734.29,5,5,5,555,VIP
10071,55,21,1607684.46,3,3,2,332,Lost
10072,70,25,3197045.55,2,5,5,255,At Risk
10073,44,10,1187270.51,3,1,1,311,Lost
10074,54,23,2791562.73,3,4,5,345,Lost
10075,153,15,1695304.31,1,1,2,112,Lost
10076,16,18,1877170.19,4,2,3,423,New
10077,19,18,1996607.83,4,2,3,423,New
10078,166,17,2193047.46,1,2,4,124,Lost
10079,9,23,1845975.91,5,4,2,542,Loyal
10080,68,25,3052941.0,2,5,5,255,At Risk
10081,18,22,2237344.81,4,4,4,444,Loyal
10082,11,19,2098665.63,5,2,3,523,New
10083,62,24,4013226.43,2,4,5,245,At Risk
10084,3,15,1735162.27,5,1,2,512,New
10085,44,27,2370377.32,3,5,4,354,Lost
10086,36,22,2002411.8,3,4,3,343,Lost
10087,36,22,2778954.39,3,4,5,345,Lost
10088,5,18,2409343.17,5,2,4,524,New
10089,442,16,2410515.84,1,1,4,114,Lost
10090,13,26,1930761.88,5,5,3,553,Loyal
10091,14,24,2373436.9,5,4,4,544,Loyal
10092,52,19,1378076.74,3,2,1,321,Lost
10093,20,17,2210317.37,4,2,4,424,New
10094,23,23,1758807.85,4,4,2,442,Loyal
10095,102,20,2373638.81,1,3,4,134,Lost
10096,78,16,1524885.95,2,1,1,211,Lost
10097,20,19,2005350.32,4,2,3,423,New
10098,75,21,2031852.8900000001,2,3,3,233,Lost
10099,18,20,2039326.8399999999,4,3,3,433,New
10100,84,24,1861441.76,2,4,2,242,At Risk
10101,76,18,2138548.91,2,2,3,223,Lost
10102,219,17,2163578.86,1,2,3,123,Lost
10103,24,16,1487070.59,4,1,1,411,New
10104,71,17,1856240.28,2,2,2,222,Lost
10105,182,21,1621191.55,1,3,2,132,Lost
10106,52,19,1244684.13,3,2,1,321,Lost
10107,15,25,2580912.17,4,5,5,455,Loyal
10108,80,26,3073717.63,2,5,5,255,At Risk
10109,60,24,2700020.48,2,4,5,245,At Risk
10110,36,27,2471408.91,3,5,4,354,Lost
10111,7,20,2341343.55,5,3,4,534,New
10112,26,20,2289904.68,4,3,4,434,New
10113,15,17,1759346.79,4,2,2,422,New
10114,23,19,2325977.13,4,2,4,424,New
10115,45,23,2614800.34,3,4,5,345,Lost
10116,35,20,2158382.17,3,3,3,333,Lost
10117,2,17,1894617.03,5,2,3,523,New
10118,318,11,849198.06,1,1,1,111,Lost
10119,88,18,2281781.89,2,2,4,224,Lost
10120,27,15,1695936.75,4,1,2,412,New
10121,4,27,1936875.78,5,5,3,553,Loyal
10122,78,25,2984624.04,2,5,5,255,At Risk
10123,16,18,1983759.34,4,2,3,423,New
10124,74,10,1222475.79,2,1,1,211,Lost
10125,9,17,2081514.82,5,2,3,523,New
10126,54,27,2591241.4,3,5,5,355,Lost
10127,1,20,2196956.84,5,3,4,534,New
10128,19,23,2718833.9,4,4,5,445,Loyal
10129,79,13,1196156.38,2,1,1,211,Lost
10130,37,16,1517023.47,3,1,1,311,Lost
10131,71,12,1555184.7,2,1,2,212,Lost
10132,42,28,2765561.33,3,5,5,355,Lost
10133,4,21,2593321.3,5,3,5,535,New
10134,20,22,2383101.84,4,4,4,444,Loyal
10135,171,22,1902496.3,1,4,3,143,At Risk
10136,34,15,1360276.5,3,1,1,311,Lost
10137,76,22,2344391.5,2,4,4,244,At Risk
10138,69,28,3157726.25,2,5,5,255,At Risk
10139,134,22,2261473.35,1,4,4,144,At Risk
10140,13,15,1759775.17,5,1,2,512,New
10141,72,21,2478477.43,2,3,4,234,Lost
10142,4,18,1581548.18,5,2,2,522,New
10143,44,18,1897632.4,3,2,3,323,Lost
10144,6,18,2146979.9,5,2,3,523,New
10145,151,18,1461172.31,1,2,1,121,Lost
10146,88,23,2269718.83,2,4,4,244,At Risk
10147,7,14,1025963.88,5,1,1,511,New
10148,72,24,1882565.38,2,4,3,243,At Risk
10149,26,15,1021134.71,4,1,1,411,New
10150,4,16,1530145.83,5,1,1,511,New
10151,2,19,1557864.59,5,2,2,522,New
10152,3,20,2624032.67,5,3,5,535,New
10153,155,22,2007093.95,1,4,3,143,At Risk
10154,69,22,2644972.81,2,4,5,245,At Risk
10155,46,23,2693917.64,3,4,5,345,Lost
10156,21,21,2259292.28,4,3,4,434,New
10157,5,21,2395320.14,5,3,4,534,New
10158,17,17,2237752.9,4,2,4,424,New
10159,238,14,2006828.7,1,1,3,113,Lost
10160,34,26,2890350.53,3,5,5,355,Lost
10161,54,27,3082044.56,3,5,5,355,Lost
10162,11,26,3004104.6,5,5,5,555,VIP
10163,168,15,1431942.88,1,1,1,111,Lost
10164,80,24,2701238.96,2,4,5,245,At Risk
10165,51,20,1999480.2,3,3,3,333,Lost
10166,74,17,1283483.54,2,2,1,221,Lost
10167,25,20,2619967.71,4,3,5,435,New
10168,40,17,1682634.67,3,2,2,322,Lost
10169,44,22,2400838.61,3,4,4,344,Lost
10170,23,21,2453390.93,4,3,4,434,New
10171,21,23,3618747.57,4,4,5,445,Loyal
10172,71,20,2396964.81,2,3,4,234,Lost
10173,28,26,3077649.95,4,5,5,455,Loyal
10174,86,18,2048830.37,2,2,3,223,Lost
10175,34,28,3569444.33,3,5,5,355,Lost
10176,71,17,2180802.62,2,2,3,223,Lost
10177,56,16,1843766.14,2,1,2,212,Lost
10178,70,23,2327214.43,2,4,4,244,At Risk
10179,29,24,2346003.77,4,4,4,444,Loyal
10180,45,17,1193344.23,3,2,1,321,Lost
10181,10,15,1645306.3,5,1,2,512,New
10182,14,17,1212010.58,5,2,1,521,New
10183,49,23,2225363.58,3,4,4,344,Lost
10184,18,21,2554248.2199999997,4,3,4,434,New
10185,58,24,2059629.31,2,4,3,243,At Risk
10186,120,25,2960406.27,1,5,5,155,At Risk
10187,43,16,1593992.73,3,1,2,312,Lost
10188,135,20,1643646.07,1,3,2,132,Lost
10189,203,18,2144475.65,1,2,3,123,Lost
10190,108,19,2168327.85,1,2,3,123,Lost
10191,35,25,2503723.87,3,5,4,354,Lost
10192,41,16,1564111.18,3,1,2,312,Lost
10193,39,20,2129546.38,3,3,3,333,Lost
10194,36,19,1339517.51,3,2,1,321,Lost
10195,120,17,1762490.52,1,2,2,122,Lost
10196,3,11,1131661.46,5,1,1,511,New
10197,64,23,2625675.68,2,4,5,245,At Risk
10198,27,20,2511371.46,4,3,4,434,New
10199,57,16,1065545.37,2,1,1,211,Lost
10200,86,17,1435176.2,2,2,1,221,Lost
10201,123,21,1752828.15,1,3,2,132,Lost
10202,58,19,1592650.01,2,2,2,222,Lost
10203,79,19,1724531.24,2,2,2,222,Lost
10204,5,26,2507721.4899999998,5,5,4,554,Loyal
10205,64,19,1776889.77,2,2,2,222,Lost
10206,168,18,2003382.75,1,2,3,123,Lost
10207,68,22,1901518.18,2,4,3,243,At Risk
10208,6,22,2722633.56,5,4,5,545,Loyal
10209,138,23,2352658.43,1,4,4,144,At Risk
10210,1,23,1092295.1300000001,5,4,1,541,Loyal
10211,105,20,2460330.19,1,3,4,134,Lost
10212,137,22,1913944.7,1,4,3,143,At Risk
10213,6,18,1812554.16,5,2,2,522,New
10214,21,19,2190538.91,4,2,4,424,New
10215,7,22,1888597.8399999999,5,4,3,543,Loyal
10216,14,16,1406186.31,5,1,1,511,New
10217,71,18,2443545.92,2,2,4,224,Lost
10218,18,31,4011538.27,4,5,5,455,Loyal
10219,21,19,1491246.08,4,2,1,421,New
10220,10,26,2398560.36,5,5,4,554,Loyal
10221,31,16,1421092.18,4,1,1,411,New
10222,3,12,1175674.24,5,1,1,511,New
10223,13,20,1558661.07,5,3,2,532,New
10224,40,17,1087184.17,3,2,1,321,Lost
10225,48,24,2576661.26,3,4,5,345,Lost
10226,105,15,1434720.27,1,1,1,111,Lost
10227,37,13,1304765.4900000002,3,1,1,311,Lost
10228,52,26,3332175.16,3,5,5,355,Lost
10229,24,19,2223495.83,4,2,4,424,New
10230,9,20,1708912.77,5,3,2,532,New
10231,37,22,1778244.8,3,4,2,342,Lost
10232,19,21,1654998.91,4,3,2,432,New
10233,219,17,1672221.7000000002,1,2,2,122,Lost
10234,23,34,2437202.01,4,5,4,454,Loyal
10235,10,17,1875077.09,5,2,2,522,New
10236,5,32,2742556.7399999998,5,5,5,555,VIP
10237,173,20,2013476.44,1,3,3,133,Lost
10238,4,14,945879.17,5,1,1,511,New
10239,183,16,2458852.44,1,1,4,114,Lost
10240,73,18,1833459.06,2,2,2,222,Lost
10241,92,20,1648132.83,2,3,2,232,Lost
10242,65,21,2448753.39,2,3,4,234,Lost
10243,38,18,1595319.1700000002,3,2,2,322,Lost
10244,36,25,3336669.72,3,5,5,355,Lost
10245,140,19,1405880.56,1,2,1,121,Lost
10246,41,18,2719051.4,3,2,5,325,Lost
10247,52,16,1447796.9200000002,3,1,1,311,Lost
10248,7,16,1109390.9,5,1,1,511,New
10249,59,17,1497021.78,2,2,1,221,Lost
10250,52,26,2071149.3,3,5,3,353,Lost
10251,69,13,667884.8,2,1,1,211,Lost
10252,31,18,2271420.45,4,2,4,424,New
10253,29,19,2158687.5,4,2,3,423,New
10254,194,15,1489964.49,1,1,1,111,Lost
10255,7,23,2988999.76,5,4,5,545,Loyal
10256,97,16,1712820.12,1,1,2,112,Lost
10257,32,14,1422963.07,3,1,1,311,Lost
10258,59,25,3067706.9,2,5,5,255,At Risk
10259,13,20,2154553.31,5,3,3,533,New
10260,36,19,1651762.61,3,2,2,322,Lost
10261,10,23,2316365.68,5,4,4,544,Loyal
10262,131,14,1378530.1,1,1,1,111,Lost
10263,35,25,2078844.22,3,5,3,353,Lost
10264,13,29,2742700.36,5,5,5,555,VIP
10265,200,20,2149002.83,1,3,3,133,Lost
10266,9,21,2099293.74,5,3,3,533,New
10267,9,21,1905501.29,5,3,3,533,New
10268,58,18,1628107.53,2,2,2,222,Lost
10269,50,20,1540885.69,3,3,1,331,Lost
10270,55,26,2773234.34,3,5,5,355,Lost
10271,39,18,1446301.07,3,2,1,321,Lost
10272,37,25,2990352.05,3,5,5,355,Lost
10273,14,18,1663864.65,5,2,2,522,New
10274,34,20,2178773.75,3,3,3,333,Lost
10275,105,12,1008216.75,1,1,1,111,Lost
10276,10,17,2087660.45,5,2,3,523,New
10277,165,11,1474943.22,1,1,1,111,Lost
10278,24,19,2345387.61,4,2,4,424,New
10279,41,23,2517540.98,3,4,4,344,Lost
10280,30,20,2462762.13,4,3,4,434,New
10281,49,19,2322908.9,3,2,4,324,Lost
10282,44,24,2281650.18,3,4,4,344,Lost
10283,13,20,2667543.88,5,3,5,535,New
10284,24,20,2059920.79,4,3,3,433,New
10285,12,25,2868868.9,5,5,5,555,VIP
10286,14,18,1981982.52,5,2,3,523,New
10287,182,15,1432495.0,1,1,1,111,Lost
10288,57,22,2142649.82,2,4,3,243,At Risk
10289,38,19,1584301.02,3,2,2,322,Lost
10290,119,14,1577159.3299999998,1,1,2,112,Lost
10291,52,16,1591523.23,3,1,2,312,Lost
10292,107,19,2210043.83,1,2,4,124,Lost
10293,146,21,1347665.72,1,3,1,131,Lost
10294,219,22,2400179.3,1,4,4,144,At Risk
10295,58,29,2973046.17,2,5,5,255,At Risk
10296,34,14,1570140.1,3,1,2,312,Lost
10297,69,21,2579139.1,2,3,5,235,Lost
10298,58,15,1624256.23,2,1,2,212,Lost
10299,73,22,1865425.1,2,4,2,242,At Risk
10300,90,17,1495566.1300000001,2,2,1,221,Lost
10301,19,24,2038464.41,4,4,3,443,Loyal
10302,41,25,2526706.46,3,5,4,354,Lost
10303,102,16,1696415.73,1,1,2,112,Lost
10304,42,27,3240557.79,3,5,5,355,Lost
10305,9,23,1833461.45,5,4,2,542,Loyal
10306,7,23,2206564.62,5,4,4,544,Loyal
10307,84,22,3053163.83,2,4,5,245,At Risk
10308,34,15,1932635.39,3,1,3,313,Lost
10309,87,14,1667864.4300000002,2,1,2,212,Lost
10310,106,12,1485325.76,1,1,1,111,Lost
10311,13,25,2766782.18,5,5,5,555,VIP
10312,95,21,2798021.73,2,3,5,235,Lost
10313,13,25,2586860.85,5,5,5,555,VIP
10314,110,21,2372446.85,1,3,4,134,Lost
10315,40,18,1992634.96,3,2,3,323,Lost
10316,27,22,2550680.91,4,4,4,444,Loyal
10317,128,15,1810970.4300000002,1,1,2,112,Lost
10318,38,14,1243685.32,3,1,1,311,Lost
10319,54,21,1794886.19,3,3,2,332,Lost
10320,27,20,2253530.29,4,3,4,434,New
10321,38,19,1722358.56,3,2,2,322,Lost
10322,219,11,1362433.95,1,1,1,111,Lost
10323,115,25,2484481.97,1,5,4,154,At Risk
10324,26,22,2951182.9,4,4,5,445,Loyal
10325,16,20,2104144.84,4,3,3,433,New
10326,64,21,2293135.16,2,3,4,234,Lost
10327,91,19,1536039.47,2,2,1,221,Lost
10328,1,14,1661458.82,5,1,2,512,New
10329,3,22,1756075.01,5,4,2,542,Loyal
10330,73,25,2831985.61,2,5,5,255,At Risk
10331,38,20,1945436.43,3,3,3,333,Lost
10332,27,17,1451693.22,4,2,1,421,New
10333,88,13,1232041.72,2,1,1,211,Lost
10334,29,10,894013.93,4,1,1,411,New
10335,38,25,3209995.22,3,5,5,355,Lost
10336,11,12,2139574.85,5,1,3,513,New
10337,59,16,2012324.29,2,1,3,213,Lost
10338,36,24,3368704.65,3,4,5,345,Lost
10339,24,24,3160770.2800000003,4,4,5,445,Loyal
10340,59,22,3215144.13,2,4,5,245,At Risk
10341,2,23,2216338.35,5,4,4,544,Loyal
10342,31,24,2533378.65,4,4,4,444,Loyal
10343,177,16,1536663.27,1,1,1,111,Lost
10344,33,23,2043044.19,3,4,3,343,Lost
10345,177,21,2278629.76,1,3,4,134,Lost
10346,171,16,1746571.14,1,1,2,112,Lost
10347,82,23,2508638.72,2,4,4,244,At Risk
10348,11,16,1349739.01,5,1,1,511,New
10349,7,14,887281.55,5,1,1,511,New
10350,330,18,1945681.27,1,2,3,123,Lost
10351,111,18,1850589.98,1,2,2,122,Lost
10352,39,27,3244571.1,3,5,5,355,Lost
10353,42,31,3259966.63,3,5,5,355,Lost
10354,41,25,3136416.94,3,5,5,355,Lost
10355,130,13,1880780.1600000001,1,1,3,113,Lost
10356,35,12,884824.39,3,1,1,311,Lost
10357,16,22,2380301.5100000002,4,4,4,444,Loyal
10358,56,17,1195235.18,2,2,1,221,Lost
10359,18,17,1722458.95,4,2,2,422,New
10360,215,17,1946303.75,1,2,3,123,Lost
10361,71,18,1769275.2,2,2,2,222,Lost
10362,44,23,2163828.3,3,4,3,343,Lost
10363,48,19,2428679.25,3,2,4,324,Lost
10364,62,18,1687476.13,2,2,2,222,Lost
10365,58,12,1130099.17,2,1,1,211,Lost
10366,2,24,2028325.82,5,4,3,543,Loyal
10367,13,13,1340979.03,5,1,1,511,New
10368,35,26,3431761.82,3,5,5,355,Lost
10369,3,33,2842943.27,5,5,5,555,VIP
10370,38,19,1831624.4100000001,3,2,2,322,Lost
10371,17,11,688953.38,4,1,1,411,New
10372,1,16,1901712.28,5,1,3,513,New
10373,1,21,1562368.1400000001,5,3,2,532,New
10374,18,22,3465287.91,4,4,5,445,Loyal
10375,79,17,1906986.67,2,2,3,223,Lost
10376,52,24,2925091.43,3,4,5,345,Lost
10377,8,30,3904544.47,5,5,5,555,VIP
10378,175,10,901651.96,1,1,1,111,Lost
10379,183,19,1640096.74,1,2,2,122,Lost
10380,42,20,2110320.23,3,3,3,333,Lost
10381,101,10,1363384.17,1,1,1,111,Lost
10382,24,21,2194504.19,4,3,4,434,New
10383,3,15,1941935.3,5,1,3,513,New
10384,15,17,1463532.21,4,2,1,421,New
10385,65,21,1879962.73,2,3,3,233,Lost
10386,10,30,3986733.66,5,5,5,555,VIP
10387,11,29,3237484.49,5,5,5,555,VIP
10388,25,20,2442182.15,4,3,4,434,New
10389,97,19,2036598.9500000002,1,2,3,123,Lost
10390,111,19,1835406.09,1,2,2,122,Lost
10391,69,16,1389588.79,2,1,1,211,Lost
10392,143,14,1380825.83,1,1,1,111,Lost
10393,48,24,2202735.06,3,4,4,344,Lost
10394,9,18,2097663.98,5,2,3,523,New
10395,178,21,2150292.82,1,3,3,133,Lost
10396,36,20,2070468.25,3,3,3,333,Lost
10397,54,13,705241.49,3,1,1,311,Lost
10398,57,18,2060263.4700000002,2,2,3,223,Lost
10399,33,25,2656601.87,3,5,5,355,Lost
10400,5,16,1000241.73,5,1,1,511,New
10401,86,14,1118739.5,2,1,1,211,Lost
10402,24,19,2308108.75,4,2,4,424,New
10403,3,18,2089314.7000000002,5,2,3,523,New
10404,163,18,1488808.01,1,2,1,121,Lost
10405,30,11,1273179.99,4,1,1,411,New
10406,13,17,1669586.93,5,2,2,522,New
10407,59,16,1229797.52,2,1,1,211,Lost
10408,155,17,1288180.62,1,2,1,121,Lost
10409,60,23,2103871.54,2,4,3,243,At Risk
10410,44,31,2369026.49,3,5,4,354,Lost
10411,4,21,2063123.2999999998,5,3,3,533,New
10412,4,21,2037057.3399999999,5,3,3,533,New
10413,47,17,1590401.91,3,2,2,322,Lost
10414,8,19,1407450.39,5,2,1,521,New
10415,53,11,1009298.4,3,1,1,311,Lost
10416,2,22,1802049.51,5,4,2,542,Loyal
10417,162,16,1664813.7,1,1,2,112,Lost
10418,122,26,1774571.65,1,5,2,152,At Risk
10419,4,28,3304736.37,5,5,5,555,VIP
10420,68,18,1042516.06,2,2,1,221,Lost
10421,49,24,2742762.77,3,4,5,345,Lost
10422,174,17,1548834.43,1,2,2,122,Lost
10423,115,23,2597678.74,1,4,5,145,At Risk
10424,159,11,841772.1,1,1,1,111,Lost
10425,146,20,2677575.94,1,3,5,135,Lost
10426,18,20,2026646.0799999998,4,3,3,433,New
10427,69,22,2724569.8600000003,2,4,5,245,At Risk
10428,105,13,1589988.51,1,1,2,112,Lost
10429,65,14,1836352.26,2,1,2,212,Lost
10430,108,18,2223003.49,1,2,4,124,Lost
10431,93,26,1926999.81,2,5,3,253,At Risk
10432,40,17,2726920.84,3,2,5,325,Lost
10433,15,22,1520345.6,4,4,1,441,Loyal
10434,54,20,2188637.49,3,3,3,333,Lost
10435,97,22,1933352.57,1,4,3,143,At Risk
10436,34,20,2192339.85,3,3,4,334,Lost
10437,34,16,1381082.69,3,1,1,311,Lost
10438,51,16,1678763.18,3,1,2,312,Lost
10439,37,20,2159872.13,3,3,3,333,Lost
10440,105,18,1390256.03,1,2,1,121,Lost
10441,12,20,2544629.91,5,3,4,534,New
10442,77,15,1728631.2,2,1,2,212,Lost
10443,23,22,2822618.86,4,4,5,445,Loyal
10444,49,22,1840598.86,3,4,2,342,Lost
10445,12,22,2392010.86,5,4,4,544,Loyal
10446,1,17,2177167.24,5,2,3,523,New
10447,47,18,1133563.18,3,2,1,321,Lost
10448,7,17,1866352.69,5,2,2,522,New
10449,2,22,2464153.83,5,4,4,544,Loyal
10450,91,27,2391652.9099999997,2,5,4,254,At Risk
10451,39,19,2010543.35,3,2,3,323,Lost
10452,69,17,2086900.3,2,2,3,223,Lost
10453,30,21,2284435.58,4,3,4,434,New
10454,26,25,3272267.2,4,5,5,455,Loyal
10455,26,23,2644291.2800000003,4,4,5,445,Loyal
10456,51,29,3910121.44,3,5,5,355,Lost
10457,41,23,2841650.91,3,4,5,345,Lost
10458,9,22,2408929.4,5,4,4,544,Loyal
10459,68,21,2602381.26,2,3,5,235,Lost
10460,34,24,3047581.39,3,4,5,345,Lost
10461,53,17,1865235.13,3,2,2,322,Lost
10462,3,33,3614274.66,5,5,5,555,VIP
10463,26,19,1912849.44,4,2,3,423,New
10464,115,26,3910325.5100000002,1,5,5,155,At Risk
10465,319,10,928030.37,1,1,1,111,Lost
10466,7,23,2263768.23,5,4,4,544,Loyal
10467,24,12,808288.62,4,1,1,411,New
10468,11,18,1204711.74,5,2,1,521,New
10469,118,22,2107726.68,1,4,3,143,At Risk
10470,108,13,888187.78,1,1,1,111,Lost
10471,247,17,1837928.3399999999,1,2,2,122,Lost
10472,71,16,1926507.83,2,1,3,213,Lost
10473,52,19,1707019.51,3,2,2,322,Lost
10474,75,15,1215906.26,2,1,1,211,Lost
10475,63,18,1810246.17,2,2,2,222,Lost
10476,55,14,1513823.92,3,1,1,311,Lost
10477,138,27,1867767.51,1,5,2,152,At Risk
10478,34,29,2541316.08,3,5,4,354,Lost
10479,28,18,1710571.55,4,2,2,422,New
10480,149,19,2427352.61,1,2,4,124,Lost
10481,9,15,2046467.69,5,1,3,513,New
10482,165,16,1156811.73,1,1,1,111,Lost
10483,51,20,2348207.38,3,3,4,334,Lost
10484,67,21,2128415.78,2,3,3,233,Lost
10485,21,24,2284431.55,4,4,4,444,Loyal
10486,1,22,2278295.9,5,4,4,544,Loyal
10487,67,15,1498754.77,2,1,1,211,Lost
10488,2,24,2592488.62,5,4,5,545,Loyal
10489,20,28,4472264.53,4,5,5,455,Loyal
10490,1,25,2727351.6,5,5,5,555,VIP
10491,68,21,2983705.53,2,3,5,235,Lost
10492,7,25,3267517.35,5,5,5,555,VIP
10493,43,22,3087135.9,3,4,5,345,Lost
10494,126,16,1669564.3599999999,1,1,2,112,Lost
10495,30,19,2022172.42,4,2,3,423,New
10496,33,27,3503200.12,3,5,5,355,Lost
10497,58,24,2250140.0,2,4,4,244,At Risk
10498,81,20,2711471.23,2,3,5,235,Lost
10499,8,25,2207795.7399999998,5,5,4,554,Loyal
10500,66,17,1957860.76,2,2,3,223,Lost
10501,49,22,1446508.6099999999,3,4,1,341,Lost
10502,94,21,2756655.53,2,3,5,235,Lost
10503,96,18,1358958.57,2,2,1,221,Lost
10504,109,17,2233345.79,1,2,4,124,Lost
10505,7,22,2025672.01,5,4,3,543,Loyal
10506,20,17,1292990.19,4,2,1,421,New
10507,124,23,2601745.67,1,4,5,145,At Risk
10508,131,22,1797481.8699999999,1,4,2,142,At Risk
10509,112,11,1366726.38,1,1,1,111,Lost
10510,15,18,1627509.56,4,2,2,422,New
10511,44,27,2539279.05,3,5,4,354,Lost
10512,21,17,1807719.8299999998,4,2,2,422,New
10513,36,15,1781304.27,3,1,2,312,Lost
10514,37,20,2649683.08,3,3,5,335,Lost
10515,69,26,3020570.41,2,5,5,255,At Risk
10516,28,21,1819165.03,4,3,2,432,New
10517,22,15,1863479.0999999999,4,1,2,412,New
10518,96,25,2725496.63,2,5,5,255,At Risk
10519,72,23,2457441.51,2,4,4,244,At Risk
10520,32,16,1390352.33,3,1,1,311,Lost
10521,135,17,2337024.48,1,2,4,124,Lost
10522,66,22,2590260.94,2,4,5,245,At Risk
10523,120,17,1698772.5,1,2,2,122,Lost
10524,3,17,1566826.24,5,2,2,522,New
10525,32,20,2572442.62,3,3,4,334,Lost
10526,119,24,2026772.78,1,4,3,143,At Risk
10527,32,18,1696085.03,3,2,2,322,Lost
10528,40,28,3047357.87,3,5,5,355,Lost
10529,40,25,2325304.09,3,5,4,354,Lost
10530,27,19,1677071.65,4,2,2,422,New
10531,30,23,3214096.76,4,4,5,445,Loyal
10532,58,26,2370113.74,2,5,4,254,At Risk
10533,36,24,2541952.45,3,4,4,344,Lost
10534,123,24,2756242.74,1,4,5,145,At Risk
10535,10,18,1673022.1600000001,5,2,2,522,New
10536,16,23,2127874.07,4,4,3,443,Loyal
10537,69,18,1946496.51,2,2,3,223,Lost
10538,27,18,2053096.31,4,2,3,423,New
10539,135,23,2076387.1300000001,1,4,3,143,At Risk
10540,20,12,1534291.35,4,1,1,411,New
10541,12,18,1622401.1300000001,5,2,2,522,New
10542,18,20,1292935.56,4,3,1,431,New
10543,38,25,2437057.54,3,5,4,354,Lost
10544,38,19,1507975.4100000001,3,2,1,321,Lost
10545,9,20,1676154.53,5,3,2,532,New
10546,10,24,2228925.65,5,4,4,544,Loyal
10547,37,22,2674893.19,3,4,5,345,Lost
10548,131,19,2162165.27,1,2,3,123,Lost
10549,20,30,3242521.68,4,5,5,455,Loyal
10550,177,7,517279.68,1,1,1,111,Lost
10551,10,16,1507173.54,5,1,1,511,New
10552,61,20,2008918.05,2,3,3,233,Lost
10553,86,21,1815550.0,2,3,2,232,Lost
10554,39,22,2687230.56,3,4,5,345,Lost
10555,43,27,3109466.4699999997,3,5,5,355,Lost
10556,169,12,1231824.06,1,1,1,111,Lost
10557,36,19,2355698.29,3,2,4,324,Lost
